Таблица узлов (1)-Учебная версия;;;;;;;;;
;Координаты;;;Связи;;;;;
№ узла;X (м);Y (м);Z (м);X;Y;Z;UX;UY;UZ
42703;-17.379999;-88.213341;3;-;-;-;-;-;-
42704;-17.379999;-89.146637;3;-;-;-;-;-;-
42705;-16.379999;-89.146637;3;-;-;-;-;-;-
42706;-14.38;-90.146637;3;-;-;-;-;-;-
42707;-15.38;-90.146637;3;-;-;-;-;-;-
42708;-16.379999;-90.146637;3;-;-;-;-;-;-
42709;-15.38;-91.146637;3;-;-;-;-;-;-
42710;-14.38;-91.146637;3;-;-;-;-;-;-
42711;-17.379999;-90.079941;3;-;-;-;-;-;-
42712;-17.379999;-91.94664;3;-;-;-;-;-;-
42713;-18.379999;-79.146637;3;-;-;-;-;-;-
42714;-17.58;-79.94664;3;-;-;-;-;-;-
42715;-17.58;-74.346642;3;-;-;-;-;-;-
42716;-18.379999;-75.146637;3;-;-;-;-;-;-
42717;-26.18;-74.346642;3;-;-;-;-;-;-
42718;-26.379999;-75.279968;3;-;-;-;-;-;-
42719;-25.379999;-75.146637;3;-;-;-;-;-;-
42720;-18.379999;-76.146637;3;-;-;-;-;-;-
42721;-19.379999;-75.146637;3;-;-;-;-;-;-
42722;-19.379999;-76.146637;3;-;-;-;-;-;-
42723;-19.379999;-77.146637;3;-;-;-;-;-;-
42724;-18.379999;-77.146637;3;-;-;-;-;-;-
42725;-20.379999;-75.146637;3;-;-;-;-;-;-
42726;-21.379999;-75.146637;3;-;-;-;-;-;-
42727;-20.379999;-76.146637;3;-;-;-;-;-;-
42728;-20.379999;-77.146637;3;-;-;-;-;-;-
42729;-21.379999;-76.146637;3;-;-;-;-;-;-
42730;-22.379999;-75.146637;3;-;-;-;-;-;-
42731;-22.379999;-76.146637;3;-;-;-;-;-;-
42732;-21.379999;-77.146637;3;-;-;-;-;-;-
42733;-22.379999;-77.146637;3;-;-;-;-;-;-
42734;-19.379999;-78.146637;3;-;-;-;-;-;-
42735;-18.379999;-78.146637;3;-;-;-;-;-;-
42736;-19.379999;-79.146637;3;-;-;-;-;-;-
42737;-20.379999;-78.146637;3;-;-;-;-;-;-
42738;-21.379999;-78.146637;3;-;-;-;-;-;-
42739;-22.379999;-78.146637;3;-;-;-;-;-;-
42740;-22.379999;-79.146637;3;-;-;-;-;-;-
42741;-21.379999;-79.146637;3;-;-;-;-;-;-
42742;-20.379999;-79.146637;3;-;-;-;-;-;-
42743;-23.379999;-75.146637;3;-;-;-;-;-;-
42744;-24.379999;-75.146637;3;-;-;-;-;-;-
42745;-23.379999;-76.146637;3;-;-;-;-;-;-
42746;-23.379999;-77.146637;3;-;-;-;-;-;-
42747;-24.379999;-76.146637;3;-;-;-;-;-;-
42748;-24.379999;-77.146637;3;-;-;-;-;-;-
42749;-23.379999;-78.146637;3;-;-;-;-;-;-
42750;-26.379999;-74.346642;3;-;-;-;-;-;-
42751;-25.379999;-76.146637;3;-;-;-;-;-;-
42752;-26.379999;-76.21331;3;-;-;-;-;-;-
42753;-25.379999;-77.146637;3;-;-;-;-;-;-
42754;-26.379999;-77.146637;3;-;-;-;-;-;-
42755;-23.379999;-79.146637;3;-;-;-;-;-;-
42756;-24.379999;-78.146637;3;-;-;-;-;-;-
42757;-25.379999;-78.146637;3;-;-;-;-;-;-
42758;-24.379999;-79.146637;3;-;-;-;-;-;-
42759;-25.379999;-79.146637;3;-;-;-;-;-;-
42760;-26.379999;-78.079971;3;-;-;-;-;-;-
42761;-26.379999;-79.013344;3;-;-;-;-;-;-
42762;-26.18;-79.94664;3;-;-;-;-;-;-
42763;-26.379999;-79.94664;3;-;-;-;-;-;-
42764;-17.58;-80.346642;3;-;-;-;-;-;-
42765;-18.379999;-81.146637;3;-;-;-;-;-;-
42766;-18.379999;-82.146637;3;-;-;-;-;-;-
42767;-19.379999;-81.146637;3;-;-;-;-;-;-
42768;-19.379999;-82.146637;3;-;-;-;-;-;-
42769;-19.379999;-83.146637;3;-;-;-;-;-;-
42770;-18.379999;-83.146637;3;-;-;-;-;-;-
42771;-26.18;-80.346642;3;-;-;-;-;-;-
42772;-26.379999;-81.279938;3;-;-;-;-;-;-
42773;-25.379999;-81.146637;3;-;-;-;-;-;-
42774;-20.379999;-81.146637;3;-;-;-;-;-;-
42775;-21.379999;-81.146637;3;-;-;-;-;-;-
42776;-20.379999;-82.146637;3;-;-;-;-;-;-
42777;-20.379999;-83.146637;3;-;-;-;-;-;-
42778;-21.379999;-82.146637;3;-;-;-;-;-;-
42779;-22.379999;-81.146637;3;-;-;-;-;-;-
42780;-22.379999;-82.146637;3;-;-;-;-;-;-
42781;-21.379999;-83.146637;3;-;-;-;-;-;-
42782;-22.379999;-83.146637;3;-;-;-;-;-;-
42783;-19.379999;-84.146637;3;-;-;-;-;-;-
42784;-18.379999;-84.146637;3;-;-;-;-;-;-
42785;-18.379999;-85.146637;3;-;-;-;-;-;-
42786;-19.379999;-85.146637;3;-;-;-;-;-;-
42787;-17.58;-85.94664;3;-;-;-;-;-;-
42788;-20.379999;-84.146637;3;-;-;-;-;-;-
42789;-21.379999;-84.146637;3;-;-;-;-;-;-
42790;-22.379999;-84.146637;3;-;-;-;-;-;-
42791;-22.379999;-85.146637;3;-;-;-;-;-;-
42792;-21.379999;-85.146637;3;-;-;-;-;-;-
42793;-20.379999;-85.146637;3;-;-;-;-;-;-
42794;-23.379999;-81.146637;3;-;-;-;-;-;-
42795;-24.379999;-81.146637;3;-;-;-;-;-;-
42796;-23.379999;-82.146637;3;-;-;-;-;-;-
42797;-23.379999;-83.146637;3;-;-;-;-;-;-
42798;-24.379999;-82.146637;3;-;-;-;-;-;-
42799;-24.379999;-83.146637;3;-;-;-;-;-;-
42800;-23.379999;-84.146637;3;-;-;-;-;-;-
42801;-26.379999;-80.346642;3;-;-;-;-;-;-
42802;-25.379999;-82.146637;3;-;-;-;-;-;-
42803;-26.379999;-82.213341;3;-;-;-;-;-;-
42804;-25.379999;-83.146637;3;-;-;-;-;-;-
42805;-26.379999;-83.146637;3;-;-;-;-;-;-
42806;-23.379999;-85.146637;3;-;-;-;-;-;-
42807;-24.379999;-84.146637;3;-;-;-;-;-;-
42808;-25.379999;-84.146637;3;-;-;-;-;-;-
42809;-24.379999;-85.146637;3;-;-;-;-;-;-
42810;-25.379999;-85.146637;3;-;-;-;-;-;-
42811;-26.379999;-84.079941;3;-;-;-;-;-;-
42812;-26.379999;-85.013344;3;-;-;-;-;-;-
42813;-26.18;-85.94664;3;-;-;-;-;-;-
42814;-26.379999;-85.94664;3;-;-;-;-;-;-
42815;-26.18;-86.346642;3;-;-;-;-;-;-
42816;-26.379999;-87.279938;3;-;-;-;-;-;-
42817;-25.379999;-87.146637;3;-;-;-;-;-;-
42818;-17.58;-86.346642;3;-;-;-;-;-;-
42819;-18.379999;-87.146637;3;-;-;-;-;-;-
42820;-18.379999;-88.146637;3;-;-;-;-;-;-
42821;-18.379999;-89.146637;3;-;-;-;-;-;-
42822;-19.379999;-88.146637;3;-;-;-;-;-;-
42823;-19.379999;-89.146637;3;-;-;-;-;-;-
42824;-18.379999;-90.146637;3;-;-;-;-;-;-
42825;-19.379999;-87.146637;3;-;-;-;-;-;-
42826;-20.379999;-87.146637;3;-;-;-;-;-;-
42827;-21.379999;-87.146637;3;-;-;-;-;-;-
42828;-20.379999;-88.146637;3;-;-;-;-;-;-
42829;-21.379999;-88.146637;3;-;-;-;-;-;-
42830;-22.379999;-87.146637;3;-;-;-;-;-;-
42831;-22.379999;-88.146637;3;-;-;-;-;-;-
42832;-20.379999;-89.146637;3;-;-;-;-;-;-
42833;-22.379999;-89.146637;3;-;-;-;-;-;-
42834;-21.379999;-89.146637;3;-;-;-;-;-;-
42835;-18.379999;-91.146637;3;-;-;-;-;-;-
42836;-17.58;-91.94664;3;-;-;-;-;-;-
42837;-19.379999;-91.146637;3;-;-;-;-;-;-
42838;-19.275999;-92.146637;3;-;-;-;-;-;-
42839;-18.327999;-92.146637;3;-;-;-;-;-;-
42840;-17.58;-92.146637;3;-;-;-;-;-;-
42841;-19.379999;-90.146637;3;-;-;-;-;-;-
42842;-20.379999;-90.146637;3;-;-;-;-;-;-
42843;-21.379999;-90.146637;3;-;-;-;-;-;-
42844;-20.379999;-91.146637;3;-;-;-;-;-;-
42845;-20.224001;-92.146637;3;-;-;-;-;-;-
42846;-21.379999;-91.146637;3;-;-;-;-;-;-
42847;-21.172001;-92.146637;3;-;-;-;-;-;-
42848;-22.379999;-90.146637;3;-;-;-;-;-;-
42849;-22.379999;-91.146637;3;-;-;-;-;-;-
42850;-22.120001;-92.146637;3;-;-;-;-;-;-
42851;-23.379999;-87.146637;3;-;-;-;-;-;-
42852;-24.379999;-87.146637;3;-;-;-;-;-;-
42853;-23.379999;-88.146637;3;-;-;-;-;-;-
42854;-23.379999;-89.146637;3;-;-;-;-;-;-
42855;-24.379999;-88.146637;3;-;-;-;-;-;-
42856;-25.379999;-88.146637;3;-;-;-;-;-;-
42857;-24.379999;-89.146637;3;-;-;-;-;-;-
42858;-26.379999;-86.346642;3;-;-;-;-;-;-
42859;-26.379999;-88.213341;3;-;-;-;-;-;-
42860;-26.379999;-89.146637;3;-;-;-;-;-;-
42861;-25.379999;-89.146637;3;-;-;-;-;-;-
42862;-23.379999;-90.146637;3;-;-;-;-;-;-
42863;-24.379999;-90.146637;3;-;-;-;-;-;-
42864;-25.379999;-90.146637;3;-;-;-;-;-;-
42865;-24.379999;-91.146637;3;-;-;-;-;-;-
42866;-23.379999;-91.146637;3;-;-;-;-;-;-
42867;-23.18;-92.146637;3;-;-;-;-;-;-
42868;-24.18;-92.146637;3;-;-;-;-;-;-
42869;-25.379999;-91.146637;3;-;-;-;-;-;-
42870;-26.379999;-90.079941;3;-;-;-;-;-;-
42871;-26.379999;-91.013344;3;-;-;-;-;-;-
42872;-26.18;-91.94664;3;-;-;-;-;-;-
42873;-25.18;-92.146637;3;-;-;-;-;-;-
42874;-26.18;-92.146637;3;-;-;-;-;-;-
42875;-26.379999;-91.94664;3;-;-;-;-;-;-
42876;-26.58;-74.346642;3;-;-;-;-;-;-
42877;-27.379999;-75.146637;3;-;-;-;-;-;-
42878;-32.18;-74.346642;3;-;-;-;-;-;-
42879;-32.380001;-75.279968;3;-;-;-;-;-;-
42880;-31.379999;-75.146637;3;-;-;-;-;-;-
42881;-27.379999;-76.146637;3;-;-;-;-;-;-
42882;-27.379999;-79.146637;3;-;-;-;-;-;-
42883;-27.5133;-80.146637;3;-;-;-;-;-;-
42884;-26.58;-79.94664;3;-;-;-;-;-;-
42885;-28.379999;-75.146637;3;-;-;-;-;-;-
42886;-28.379999;-76.146637;3;-;-;-;-;-;-
42887;-29.379999;-75.146637;3;-;-;-;-;-;-
42888;-29.379999;-76.146637;3;-;-;-;-;-;-
42889;-27.379999;-77.146637;3;-;-;-;-;-;-
42890;-28.379999;-77.146637;3;-;-;-;-;-;-
42891;-29.379999;-77.146637;3;-;-;-;-;-;-
42892;-30.379999;-75.146637;3;-;-;-;-;-;-
42893;-30.379999;-76.146637;3;-;-;-;-;-;-
42894;-27.379999;-78.146637;3;-;-;-;-;-;-
42895;-26.58;-80.146637;3;-;-;-;-;-;-
42896;-28.379999;-78.146637;3;-;-;-;-;-;-
42897;-29.379999;-78.146637;3;-;-;-;-;-;-
42898;-29.379999;-79.146637;3;-;-;-;-;-;-
42899;-28.379999;-79.146637;3;-;-;-;-;-;-
42900;-28.446699;-80.146637;3;-;-;-;-;-;-
42901;-29.379999;-80.146637;3;-;-;-;-;-;-
42902;-30.379999;-77.146637;3;-;-;-;-;-;-
42903;-31.379999;-76.146637;3;-;-;-;-;-;-
42904;-31.379999;-77.146637;3;-;-;-;-;-;-
42905;-30.379999;-78.146637;3;-;-;-;-;-;-
42906;-32.380001;-74.346642;3;-;-;-;-;-;-
42907;-32.380001;-76.21331;3;-;-;-;-;-;-
42908;-32.380001;-77.146637;3;-;-;-;-;-;-
42909;-31.379999;-78.146637;3;-;-;-;-;-;-
42910;-30.379999;-79.146637;3;-;-;-;-;-;-
42911;-31.379999;-79.146637;3;-;-;-;-;-;-
42912;-30.313299;-80.146637;3;-;-;-;-;-;-
42913;-31.2467;-80.146637;3;-;-;-;-;-;-
42914;-32.380001;-78.079971;3;-;-;-;-;-;-
42915;-32.380001;-79.013344;3;-;-;-;-;-;-
42916;-32.18;-79.94664;3;-;-;-;-;-;-
42917;-32.18;-80.146637;3;-;-;-;-;-;-
42918;-32.380001;-79.94664;3;-;-;-;-;-;-
42919;-26.58;-80.346642;3;-;-;-;-;-;-
42920;-27.379999;-81.146637;3;-;-;-;-;-;-
42921;-27.379999;-82.146637;3;-;-;-;-;-;-
42922;-28.379999;-81.146637;3;-;-;-;-;-;-
42923;-28.379999;-82.146637;3;-;-;-;-;-;-
42924;-29.379999;-81.146637;3;-;-;-;-;-;-
42925;-29.379999;-82.146637;3;-;-;-;-;-;-
42926;-27.379999;-83.146637;3;-;-;-;-;-;-
42927;-28.379999;-83.146637;3;-;-;-;-;-;-
42928;-29.379999;-83.146637;3;-;-;-;-;-;-
42929;-30.379999;-81.146637;3;-;-;-;-;-;-
42930;-30.379999;-82.146637;3;-;-;-;-;-;-
42931;-27.379999;-84.146637;3;-;-;-;-;-;-
42932;-27.379999;-85.146637;3;-;-;-;-;-;-
42933;-27.5133;-86.146637;3;-;-;-;-;-;-
42934;-26.58;-85.94664;3;-;-;-;-;-;-
42935;-26.58;-86.146637;3;-;-;-;-;-;-
42936;-28.379999;-84.146637;3;-;-;-;-;-;-
42937;-29.379999;-84.146637;3;-;-;-;-;-;-
42938;-29.379999;-85.146637;3;-;-;-;-;-;-
42939;-28.379999;-85.146637;3;-;-;-;-;-;-
42940;-28.446699;-86.146637;3;-;-;-;-;-;-
42941;-29.379999;-86.146637;3;-;-;-;-;-;-
42942;-30.379999;-83.146637;3;-;-;-;-;-;-
42943;-31.379999;-81.146637;3;-;-;-;-;-;-
42944;-31.379999;-82.146637;3;-;-;-;-;-;-
42945;-31.379999;-83.146637;3;-;-;-;-;-;-
42946;-32.18;-80.346642;3;-;-;-;-;-;-
42947;-32.380001;-81.279938;3;-;-;-;-;-;-
42948;-30.379999;-84.146637;3;-;-;-;-;-;-
42949;-32.380001;-80.346642;3;-;-;-;-;-;-
42950;-32.380001;-82.213341;3;-;-;-;-;-;-
42951;-32.380001;-83.146637;3;-;-;-;-;-;-
42952;-31.379999;-84.146637;3;-;-;-;-;-;-
42953;-30.379999;-85.146637;3;-;-;-;-;-;-
42954;-31.379999;-85.146637;3;-;-;-;-;-;-
42955;-30.313299;-86.146637;3;-;-;-;-;-;-
42956;-31.2467;-86.146637;3;-;-;-;-;-;-
42957;-32.380001;-84.079941;3;-;-;-;-;-;-
42958;-32.380001;-85.013344;3;-;-;-;-;-;-
42959;-32.18;-85.94664;3;-;-;-;-;-;-
42960;-32.18;-86.146637;3;-;-;-;-;-;-
42961;-32.380001;-85.94664;3;-;-;-;-;-;-
42962;-26.58;-86.346642;3;-;-;-;-;-;-
42963;-27.379999;-87.146637;3;-;-;-;-;-;-
42964;-27.379999;-88.146637;3;-;-;-;-;-;-
42965;-27.379999;-89.146637;3;-;-;-;-;-;-
42966;-28.379999;-87.146637;3;-;-;-;-;-;-
42967;-29.379999;-87.146637;3;-;-;-;-;-;-
42968;-28.379999;-88.146637;3;-;-;-;-;-;-
42969;-29.379999;-88.146637;3;-;-;-;-;-;-
42970;-30.379999;-87.146637;3;-;-;-;-;-;-
42971;-30.379999;-88.146637;3;-;-;-;-;-;-
42972;-28.379999;-89.146637;3;-;-;-;-;-;-
42973;-29.379999;-89.146637;3;-;-;-;-;-;-
42974;-27.379999;-90.146637;3;-;-;-;-;-;-
42975;-27.379999;-91.146637;3;-;-;-;-;-;-
42976;-27.5133;-92.146637;3;-;-;-;-;-;-
42977;-26.58;-91.94664;3;-;-;-;-;-;-
42978;-26.58;-92.146637;3;-;-;-;-;-;-
42979;-28.379999;-90.146637;3;-;-;-;-;-;-
42980;-29.379999;-90.146637;3;-;-;-;-;-;-
42981;-29.379999;-91.146637;3;-;-;-;-;-;-
42982;-28.379999;-91.146637;3;-;-;-;-;-;-
42983;-28.446699;-92.146637;3;-;-;-;-;-;-
42984;-29.379999;-92.146637;3;-;-;-;-;-;-
42985;-30.379999;-89.146637;3;-;-;-;-;-;-
42986;-31.379999;-87.146637;3;-;-;-;-;-;-
42987;-31.379999;-88.146637;3;-;-;-;-;-;-
42988;-31.379999;-89.146637;3;-;-;-;-;-;-
42989;-32.18;-86.346642;3;-;-;-;-;-;-
42990;-32.380001;-87.279938;3;-;-;-;-;-;-
42991;-30.379999;-90.146637;3;-;-;-;-;-;-
42992;-32.380001;-86.346642;3;-;-;-;-;-;-
42993;-32.380001;-88.213341;3;-;-;-;-;-;-
42994;-32.380001;-89.146637;3;-;-;-;-;-;-
42995;-30.379999;-91.146637;3;-;-;-;-;-;-
42996;-31.379999;-90.146637;3;-;-;-;-;-;-
42997;-31.379999;-91.146637;3;-;-;-;-;-;-
42998;-30.313299;-92.146637;3;-;-;-;-;-;-
42999;-31.2467;-92.146637;3;-;-;-;-;-;-
43000;-32.380001;-90.079941;3;-;-;-;-;-;-
43001;-32.380001;-91.013344;3;-;-;-;-;-;-
43002;-32.18;-91.94664;3;-;-;-;-;-;-
43003;-32.18;-92.146637;3;-;-;-;-;-;-
43004;-32.380001;-91.94664;3;-;-;-;-;-;-
43005;-35.224998;-90.951637;-1;-;-;-;-;-;-
43006;-35.618599;-91.345238;0;-;-;-;-;-;-
43007;-35.154301;-90.880943;0;-;-;-;-;-;-
43008;-34.689999;-90.416641;-2;+;+;+;+;+;+
43009;-35.560001;-91.286636;-2;+;+;+;+;+;+
43010;-34.689999;-90.416641;-1;-;-;-;-;-;-
43011;-34.689999;-90.416641;0;-;-;-;-;-;-
43012;-35.618599;-91.345238;-2;+;+;+;+;+;+
43013;-34.689999;-72.795532;0;-;-;-;-;-;-
43014;-34.689999;-72.852432;1;-;-;-;-;-;-
43015;-34.689999;-71.87664;0.79973;-;-;-;-;-;-
43016;-34.689999;-71.87664;0;-;-;-;-;-;-
43017;-34.689999;-74.633308;0;-;-;-;-;-;-
43018;-34.689999;-74.804008;1;-;-;-;-;-;-
43019;-34.689999;-73.828217;1;-;-;-;-;-;-
43020;-34.689999;-73.714417;0;-;-;-;-;-;-
43021;-34.689999;-75.5522;0;-;-;-;-;-;-
43022;-34.689999;-75.7798;1;-;-;-;-;-;-
43023;-34.689999;-72.852432;2;-;-;-;-;-;-
43024;-34.689999;-71.87664;1.59946;-;-;-;-;-;-
43025;-34.689999;-73.828217;2;-;-;-;-;-;-
43026;-34.689999;-74.804008;2;-;-;-;-;-;-
43027;-34.689999;-77.389969;0;-;-;-;-;-;-
43028;-34.689999;-77.731377;1;-;-;-;-;-;-
43029;-34.689999;-76.755592;1;-;-;-;-;-;-
43030;-34.689999;-76.471077;0;-;-;-;-;-;-
43031;-34.689999;-79.227737;0;-;-;-;-;-;-
43032;-34.689999;-79.682938;1;-;-;-;-;-;-
43033;-34.689999;-78.707138;1;-;-;-;-;-;-
43034;-34.689999;-78.308838;0;-;-;-;-;-;-
43035;-34.689999;-80.146637;0;-;-;-;-;-;-
43036;-34.689999;-75.7798;2;-;-;-;-;-;-
43037;-34.689999;-76.755592;2;-;-;-;-;-;-
43038;-34.689999;-78.707138;2;-;-;-;-;-;-
43039;-34.689999;-77.731377;2;-;-;-;-;-;-
43040;-34.689999;-81.080238;0;-;-;-;-;-;-
43041;-34.689999;-80.658737;1;-;-;-;-;-;-
43042;-34.689999;-79.682938;2;-;-;-;-;-;-
43043;-34.689999;-80.658737;2;-;-;-;-;-;-
43044;-34.689999;-72.811638;2.5494;-;-;-;-;-;-
43045;-34.689999;-72.852432;3;-;-;-;-;-;-
43046;-34.689999;-71.87664;3;-;-;-;-;-;-
43047;-34.689999;-71.87664;2.3992;-;-;-;-;-;-
43048;-34.689999;-73.746643;2.6996;-;-;-;-;-;-
43049;-34.689999;-74.681641;2.8498;-;-;-;-;-;-
43050;-34.689999;-73.828217;3;-;-;-;-;-;-
43051;-34.689999;-74.804008;3;-;-;-;-;-;-
43052;-34.689999;-75.616638;3;-;-;-;-;-;-
43053;-34.689999;-78.707138;3;-;-;-;-;-;-
43054;-34.689999;-77.731377;3;-;-;-;-;-;-
43055;-34.689999;-79.682938;3;-;-;-;-;-;-
43056;-34.689999;-76.755592;3;-;-;-;-;-;-
43057;-34.689999;-75.7798;3;-;-;-;-;-;-
43058;-34.689999;-80.658737;3;-;-;-;-;-;-
43059;-34.689999;-82.013939;0;-;-;-;-;-;-
43060;-34.689999;-81.634537;1;-;-;-;-;-;-
43061;-34.689999;-82.94754;0;-;-;-;-;-;-
43062;-34.689999;-83.881142;0;-;-;-;-;-;-
43063;-34.689999;-83.586143;1;-;-;-;-;-;-
43064;-34.689999;-82.610336;1;-;-;-;-;-;-
43065;-34.689999;-84.814842;0;-;-;-;-;-;-
43066;-34.689999;-84.561943;1;-;-;-;-;-;-
43067;-34.689999;-82.610336;2;-;-;-;-;-;-
43068;-34.689999;-81.634537;2;-;-;-;-;-;-
43069;-34.689999;-84.561943;2;-;-;-;-;-;-
43070;-34.689999;-83.586143;2;-;-;-;-;-;-
43071;-34.689999;-85.748444;0;-;-;-;-;-;-
43072;-34.689999;-85.537743;1;-;-;-;-;-;-
43073;-34.689999;-85.537743;2;-;-;-;-;-;-
43074;-34.689999;-86.682137;0;-;-;-;-;-;-
43075;-34.689999;-86.513443;1;-;-;-;-;-;-
43076;-34.689999;-87.615738;0;-;-;-;-;-;-
43077;-34.689999;-88.549339;0;-;-;-;-;-;-
43078;-34.689999;-88.465042;1;-;-;-;-;-;-
43079;-34.689999;-87.489243;1;-;-;-;-;-;-
43080;-34.689999;-89.483032;0;-;-;-;-;-;-
43081;-34.689999;-89.440842;1;-;-;-;-;-;-
43082;-34.689999;-87.489243;2;-;-;-;-;-;-
43083;-34.689999;-86.513443;2;-;-;-;-;-;-
43084;-34.689999;-88.465042;2;-;-;-;-;-;-
43085;-34.689999;-90.416641;1;-;-;-;-;-;-
43086;-34.689999;-90.416641;2;-;-;-;-;-;-
43087;-34.689999;-89.440842;2;-;-;-;-;-;-
43088;-34.689999;-81.634537;3;-;-;-;-;-;-
43089;-34.689999;-83.586143;3;-;-;-;-;-;-
43090;-34.689999;-82.610336;3;-;-;-;-;-;-
43091;-34.689999;-84.561943;3;-;-;-;-;-;-
43092;-34.689999;-85.537743;3;-;-;-;-;-;-
43093;-34.689999;-87.489243;3;-;-;-;-;-;-
43094;-34.689999;-86.513443;3;-;-;-;-;-;-
43095;-34.689999;-89.440842;3;-;-;-;-;-;-
43096;-34.689999;-88.465042;3;-;-;-;-;-;-
43097;-34.689999;-90.416641;3;-;-;-;-;-;-
43098;-35.224998;-90.951637;1;-;-;-;-;-;-
43099;-35.224998;-90.951637;2;-;-;-;-;-;-
43100;-35.618599;-91.345238;3;-;-;-;-;-;-
43101;-35.224998;-90.951637;3;-;-;-;-;-;-
43102;-33.130199;-84.427238;3;-;-;-;-;-;-
43103;-32.930302;-85.383438;3;-;-;-;-;-;-
43104;-33.166302;-81.636436;3;-;-;-;-;-;-
43105;-33.148201;-83.031837;3;-;-;-;-;-;-
43106;-33.855;-82.337341;3;-;-;-;-;-;-
43107;-33.8731;-80.94194;3;-;-;-;-;-;-
43108;-33.837002;-83.732742;3;-;-;-;-;-;-
43109;-33.012901;-80.046638;3;-;-;-;-;-;-
43110;-33.2024;-78.845642;3;-;-;-;-;-;-
43111;-33.891201;-79.546539;3;-;-;-;-;-;-
43112;-33.409599;-80.246643;3;-;-;-;-;-;-
43113;-35.4772;-91.486641;3;-;-;-;-;-;-
43114;-34.915001;-91.651642;3;-;-;-;-;-;-
43115;-33.057899;-90.008942;3;-;-;-;-;-;-
43116;-33.782799;-87.918938;3;-;-;-;-;-;-
43117;-33.764702;-89.314339;3;-;-;-;-;-;-
43118;-33.076;-88.613541;3;-;-;-;-;-;-
43119;-33.094101;-87.21814;3;-;-;-;-;-;-
43120;-33.7467;-90.709839;3;-;-;-;-;-;-
43121;-33.039902;-91.404343;3;-;-;-;-;-;-
43122;-32.580002;-91.94664;3;-;-;-;-;-;-
43123;-34.435398;-91.410637;3;-;-;-;-;-;-
43124;-34.07;-91.816643;3;-;-;-;-;-;-
43125;-33.224998;-91.981644;3;-;-;-;-;-;-
43126;-32.580002;-85.94664;3;-;-;-;-;-;-
43127;-32.580002;-86.146637;3;-;-;-;-;-;-
43128;-33.358799;-85.720238;3;-;-;-;-;-;-
43129;-32.922401;-86.046638;3;-;-;-;-;-;-
43130;-32.580002;-86.346642;3;-;-;-;-;-;-
43131;-32.580002;-74.346642;3;-;-;-;-;-;-
43132;-32.908798;-74.246643;3;-;-;-;-;-;-
43133;-33.256599;-74.659393;3;-;-;-;-;-;-
43134;-33.217701;-86.246643;3;-;-;-;-;-;-
43135;-33.8008;-86.523537;3;-;-;-;-;-;-
43136;-33.818901;-85.128143;3;-;-;-;-;-;-
43137;-33.1884;-74.046638;3;-;-;-;-;-;-
43138;-33.963402;-73.964844;3;-;-;-;-;-;-
43139;-33.238602;-76.054802;3;-;-;-;-;-;-
43140;-33.9454;-75.360252;3;-;-;-;-;-;-
43141;-33.220501;-77.450218;3;-;-;-;-;-;-
43142;-33.909199;-78.151039;3;-;-;-;-;-;-
43143;-33.927299;-76.755669;3;-;-;-;-;-;-
43144;-34.245499;-75.698219;3;-;-;-;-;-;-
43145;-32.580002;-79.94664;3;-;-;-;-;-;-
43146;-32.580002;-80.146637;3;-;-;-;-;-;-
43147;-32.580002;-80.346642;3;-;-;-;-;-;-
43148;-32.580002;-73.94664;3;-;-;-;-;-;-
43149;-32.580002;-74.146637;3;-;-;-;-;-;-
43150;-33.986698;-72.566643;3;-;-;-;-;-;-
43151;-33.283298;-73.256638;3;-;-;-;-;-;-
43152;-34.689999;-72.852432;4;-;-;-;-;-;-
43153;-34.689999;-71.87664;4;-;-;-;-;-;-
43154;-34.689999;-75.698219;3.24334;-;-;-;-;-;-
43155;-34.689999;-75.698219;3.5;-;-;-;-;-;-
43156;-34.689999;-74.804008;4;-;-;-;-;-;-
43157;-34.689999;-73.828217;4;-;-;-;-;-;-
43158;-34.689999;-73.828217;5;-;-;-;-;-;-
43159;-34.689999;-72.852432;5;-;-;-;-;-;-
43160;-34.689999;-76.724937;3.15385;-;-;-;-;-;-
43161;-34.689999;-75.7798;4;-;-;-;-;-;-
43162;-34.689999;-75.7798;5;-;-;-;-;-;-
43163;-34.689999;-74.804008;5;-;-;-;-;-;-
43164;-34.689999;-78.615242;3.46154;-;-;-;-;-;-
43165;-34.689999;-77.670082;3.30769;-;-;-;-;-;-
43166;-34.689999;-79.560341;3.61538;-;-;-;-;-;-
43167;-34.689999;-80.505539;3.76923;-;-;-;-;-;-
43168;-34.689999;-77.731377;4;-;-;-;-;-;-
43169;-34.689999;-76.755592;4;-;-;-;-;-;-
43170;-34.689999;-78.707138;4;-;-;-;-;-;-
43171;-34.689999;-80.658737;5;-;-;-;-;-;-
43172;-34.689999;-79.682938;5;-;-;-;-;-;-
43173;-34.689999;-81.450638;3.92308;-;-;-;-;-;-
43174;-34.689999;-76.755592;5;-;-;-;-;-;-
43175;-34.689999;-71.87664;5;-;-;-;-;-;-
43176;-34.689999;-75.103699;6;-;-;-;-;-;-
43177;-34.689999;-74.146637;6;-;-;-;-;-;-
43178;-34.689999;-76.06076;6;-;-;-;-;-;-
43179;-34.689999;-73.389969;6;-;-;-;-;-;-
43180;-34.689999;-72.633308;6;-;-;-;-;-;-
43181;-34.689999;-71.87664;6;-;-;-;-;-;-
