Таблица узлов (1)-Учебная версия;;;;;;;;;
;Координаты;;;Связи;;;;;
№ узла;X (м);Y (м);Z (м);X;Y;Z;UX;UY;UZ
148;-63.0811;-17.999969;3;-;-;-;-;-;-
149;-62.125599;-17.999969;3;-;-;-;-;-;-
150;-61.169998;-17.999969;3;-;-;-;-;-;-
151;-69.969994;-11.99997;3;-;-;-;-;-;-
152;-69.769997;-11.99997;3;-;-;-;-;-;-
153;-68.814438;-11.99997;3;-;-;-;-;-;-
154;-67.858887;-11.99997;3;-;-;-;-;-;-
155;-66.903328;-11.99997;3;-;-;-;-;-;-
156;-65.947777;-11.99997;3;-;-;-;-;-;-
157;-64.992218;-11.99997;3;-;-;-;-;-;-
158;-64.036697;-11.99997;3;-;-;-;-;-;-
159;-63.0811;-11.99997;3;-;-;-;-;-;-
160;-62.125599;-11.99997;3;-;-;-;-;-;-
161;-61.169998;-11.99997;3;-;-;-;-;-;-
162;-69.969994;-5.99997;3;-;-;-;-;-;-
163;-69.769997;-5.99997;3;-;-;-;-;-;-
164;-68.814438;-5.99997;3;-;-;-;-;-;-
165;-67.858887;-5.99997;3;-;-;-;-;-;-
166;-66.903328;-5.99997;3;-;-;-;-;-;-
167;-65.947777;-5.99997;3;-;-;-;-;-;-
168;-64.992218;-5.99997;3;-;-;-;-;-;-
169;-64.036697;-5.99997;3;-;-;-;-;-;-
170;-63.0811;-5.99997;3;-;-;-;-;-;-
171;-62.125599;-5.99997;3;-;-;-;-;-;-
172;-61.169998;-5.99997;3;-;-;-;-;-;-
173;-69.969994;-23.999969;3;-;-;-;-;-;-
174;-69.769997;-23.999969;3;-;-;-;-;-;-
175;-68.814438;-23.999969;3;-;-;-;-;-;-
176;-67.858887;-23.999969;3;-;-;-;-;-;-
177;-66.903328;-23.999969;3;-;-;-;-;-;-
178;-65.947777;-23.999969;3;-;-;-;-;-;-
179;-64.992218;-23.999969;3;-;-;-;-;-;-
180;-64.036697;-23.999969;3;-;-;-;-;-;-
181;-63.0811;-23.999969;3;-;-;-;-;-;-
182;-62.125599;-23.999969;3;-;-;-;-;-;-
183;-61.169998;-23.999969;3;-;-;-;-;-;-
184;-60.77;-29.59997;3;-;-;-;-;-;-
185;-59.8144;-29.59997;3;-;-;-;-;-;-
186;-58.858891;-29.59997;3;-;-;-;-;-;-
187;-57.903301;-29.59997;3;-;-;-;-;-;-
188;-56.9478;-29.59997;3;-;-;-;-;-;-
189;-55.992199;-29.59997;3;-;-;-;-;-;-
190;-55.036701;-29.59997;3;-;-;-;-;-;-
191;-54.0811;-29.59997;3;-;-;-;-;-;-
192;-53.125599;-29.59997;3;-;-;-;-;-;-
193;-52.169998;-29.59997;3;-;-;-;-;-;-
194;-51.96999;-29.59997;3;-;-;-;-;-;-
195;-69.969994;-5.99997;6;-;-;-;-;-;-
196;-69.769997;-5.99997;6;-;-;-;-;-;-
197;-68.814438;-5.99997;6;-;-;-;-;-;-
198;-67.858887;-5.99997;6;-;-;-;-;-;-
199;-66.903328;-5.99997;6;-;-;-;-;-;-
